ticket_id,created_at,category,priority,status,resp_time_hrs,resol_time_hrs,agent_id,cust_rating,issue_summary,remarks
TKT-001,2024-01-30 07:55,Technical,Low,Resolved,2.2,8.2,AGT-10,5,API timeout in production,Sent direct link to documentation and user guide.
TKT-002,2024-02-12 05:29,Billing,Medium,Resolved,0.4,15.9,AGT-06,5,Double billing on subscription,User guided through password reset and login restored.
TKT-003,2024-01-23 00:12,Technical,Low,Open,2.2,15.9,AGT-09,5,High CPU usage on background worker,Awaiting customer response to troubleshooting steps.
TKT-004,2024-02-26 20:30,Technical,High,Resolved,1.7,2.9,AGT-06,2,High CPU usage on background worker,Database connection pool expanded and performance restored.
TKT-005,2024-01-09 19:11,Technical,Medium,Open,1.0,2.9,AGT-03,2,SSL certificate expiry warning,Under active investigation by support staff.
TKT-006,2024-01-27 06:18,General,Low,Escalated,1.7,2.9,AGT-02,2,Language translation support request,Priority escalation triggered by SLA breach threshold.
TKT-007,2024-01-13 13:56,Billing,Medium,Open,1.5,2.9,AGT-05,2,Update billing credit card info,Under active investigation by support staff.
TKT-008,2024-02-06 08:05,General,Medium,Resolved,0.2,3.3,AGT-09,5,Custom domain configuration inquiry,Issue verified fixed and customer confirmed resolution.
TKT-009,2024-02-04 00:40,Technical,High,Resolved,0.9,5.1,AGT-08,5,Dashboard widget loading state frozen,Database connection pool expanded and performance restored.
TKT-010,2024-01-21 07:32,Billing,High,Resolved,0.2,7.4,AGT-08,3,Update billing credit card info,Database connection pool expanded and performance restored.
TKT-011,2024-02-25 02:49,Technical,Medium,Resolved,1.9,6.9,AGT-02,2,Dashboard widget loading state frozen,Issue verified fixed and customer confirmed resolution.
TKT-012,2024-01-15 21:33,Technical,Low,Resolved,0.5,2.1,AGT-06,2,High CPU usage on background worker,User guided through password reset and login restored.
TKT-013,2024-01-04 04:44,Technical,High,Resolved,1.6,6.5,AGT-02,3,High CPU usage on background worker,Database connection pool expanded and performance restored.
