ticket_id,created_at,category,priority,status,response_time_hrs,resolution_time_hrs,agent_id,customer_rating,issue_summary,Remarks
TKT-001,2024-02-05 11:14,General,Low,Resolved,3.7,7.8,AGT-03,4,Request for product documentation,Sent direct link to API documentation and user guide.
TKT-002,2024-03-05 17:01,Billing,Low,Resolved,1.2,13.7,AGT-09,4,Incorrect charge on invoice,Invoice corrected and credit memo issued.
TKT-003,2024-02-13 12:09,Billing,High,Resolved,4.8,2.1,AGT-04,5,Unexpected fee on account,
TKT-004,2024-03-09 09:59,Billing,High,Resolved,0.6,10.7,AGT-07,4,Subscription not activated after payment,Subscription manually provisioned and verified active.
TKT-005,2024-03-25 11:49,General,Low,Open,4.9,,AGT-05,,How to export data to CSV,Provided step-by-step instructions for CSV export.
TKT-006,2024-03-22 13:10,Technical,Low,Resolved,1.9,34.1,AGT-06,2,Dashboard not loading,
TKT-007,2024-01-21 15:24,General,High,Open,4.9,,AGT-05,,Question about usage limits,Clarified plan quotas and reset cycles.
TKT-008,2024-01-08 11:52,General,Medium,Resolved,4.1,22.1,AGT-01,4,Request for account deletion,Account deleted and confirmation email sent per GDPR.
TKT-009,2024-02-20 18:29,Billing,High,Resolved,1.5,3.9,AGT-03,4,Wrong plan charged,
TKT-010,2024-01-18 16:31,Technical,Low,Open,3.8,,AGT-02,,Dashboard not loading,
TKT-011,2024-03-28 14:38,General,Low,Resolved,2,15.1,AGT-02,4,Request for product documentation,Documentation link provided via email; confirmed received.
TKT-012,2024-03-28 16:48,General,High,Resolved,3.9,2.7,AGT-05,1,Need help with onboarding,Conducted 1-on-1 onboarding session with customer.
TKT-013,2024-03-05 09:55,General,High,Open,1.6,,AGT-11,,Question about usage limits,
TKT-014,2024-01-21 16:49,Billing,Medium,Resolved,4.6,4.5,AGT-09,4,Unexpected fee on account,One-time courtesy waiver applied for unexpected fee.
TKT-015,2024-03-13 09:05,Billing,Low,Resolved,2.5,37.7,AGT-12,2,Payment failed but amount deducted,Payment captured and manually allocated to invoice.
TKT-016,2024-03-08 17:27,General,Low,Open,4.7,,AGT-04,,Question about usage limits,
TKT-017,2024-03-26 18:23,General,Medium,Resolved,4.5,3.4,AGT-08,1,Question about usage limits,Sent breakdown of current monthly consumption metrics.
TKT-018,2024-01-10 18:03,General,Low,Resolved,0.5,26.6,AGT-04,3,Change notification preferences,Updated email and in-app notification preferences.
TKT-019,2024-03-14 17:30,Billing,Medium,Open,4,,AGT-04,,Subscription not activated after payment,
TKT-020,2024-02-25 13:27,Billing,Low,Open,2.4,,AGT-07,,Refund not processed,
TKT-021,2024-02-13 09:15,Billing,Medium,Resolved,1.1,8.1,AGT-04,3,Refund not processed,Refund reissued via gateway; ARN provided to customer.
TKT-022,2024-03-11 09:03,Technical,High,Open,5,,AGT-11,,API timeout errors in production,Analyzing slow query telemetry during peak traffic hours.
TKT-023,2024-03-03 15:13,Billing,Low,Resolved,4.5,76.1,AGT-07,5,Payment failed but amount deducted,
TKT-024,2024-03-12 18:45,Technical,Medium,Resolved,0.9,14.7,AGT-08,4,Error 500 on checkout page,Deployed hotfix for null pointer exception during checkout.
